Class,Scientific_name,Common_name
birds,Charadrius bicinctus,double-banded plover
birds,Charadrius dubius,little ringed plover
birds,Charadrius hiaticula,ringed plover
birds,Charadrius leschenaultii,greater sand plover
birds,Charadrius mongolus,lesser sand plover
birds,Charadrius ruficapillus,red-capped plover
birds,Charadrius veredus,oriental plover
birds,Elseyornis melanops,black-fronted dotterel
birds,Erythrogonys cinctus,red-kneed dotterel
birds,Pluvialis fulva,Pacific golden plover
birds,Pluvialis squatarola,grey plover
birds,Thinornis cucullatus,hooded plover
birds,Vanellus miles miles,masked lapwing (northern subspecies)
birds,Vanellus miles novaehollandiae,masked lapwing (southern subspecies)
birds,Vanellus tricolor,banded lapwing
birds,Pedionomus torquatus,plains-wanderer
birds,Irediparra gallinacea,comb-crested jacana
birds,Rostratula australis,Australian painted snipe
birds,Actitis hypoleucos,common sandpiper
birds,Arenaria interpres,ruddy turnstone
birds,Calidris acuminata,sharp-tailed sandpiper
birds,Calidris alba,sanderling
birds,Calidris alpina,dunlin
birds,Calidris canutus,red knot
birds,Calidris ferruginea,curlew sandpiper
birds,Calidris melanotos,pectoral sandpiper
birds,Calidris ruficollis,red-necked stint
birds,Calidris subminuta,long-toed stint
birds,Calidris tenuirostris,great knot
birds,Gallinago hardwickii,Latham's snipe
birds,Gallinago megala,Swinhoe's snipe
birds,Limicola falcinellus,broad-billed sandpiper
birds,Limnodromus semipalmatus,Asian dowitcher
birds,Limosa lapponica baueri,Western Alaskan bar-tailed godwit
birds,Limosa limosa,black-tailed godwit
birds,Numenius madagascariensis,eastern curlew
birds,Numenius minutus,little curlew
birds,Numenius phaeopus,whimbrel
birds,Phalaropus fulicarius,grey phalarope
birds,Phalaropus lobatus,red-necked phalarope
birds,Philomachus pugnax,ruff
birds,Tringa brevipes,grey-tailed tattler
birds,Tringa flavipes,lesser yellowlegs
birds,Tringa glareola,wood sandpiper
birds,Tringa incana,wandering tattler
birds,Tringa nebularia,common greenshank
birds,Tringa stagnatilis,marsh sandpiper
birds,Tringa totanus,common redshank
birds,Xenus cinereus,terek sandpiper
birds,Turnix maculosus,red-backed button-quail
birds,Turnix melanogaster,black-breasted button-quail
birds,Turnix olivii,buff-breasted button-quail
birds,Turnix pyrrhothorax,red-chested button-quail
birds,Turnix varius,painted button-quail
birds,Turnix velox,little button-quail
birds,Glareola maldivarum,oriental pratincole
birds,Stiltia isabella,Australian pratincole
birds,Stercorarius antarcticus,brown skua
birds,Stercorarius longicaudus,long-tailed jaeger
birds,Stercorarius maccormicki,South Polar skua
birds,Stercorarius parasiticus,Arctic jaeger
birds,Stercorarius pomarinus,pomarine jaeger
birds,Anous minutus,black noddy
birds,Anous stolidus,common noddy
birds,Chlidonias hybrida,whiskered tern
birds,Chlidonias leucopterus,white-winged black tern
birds,Chroicocephalus novaehollandiae,silver gull
birds,Chroicocephalus ridibundus,black-headed gull
birds,Gelochelidon nilotica,gull-billed tern
birds,Gygis alba,white tern
birds,Hydroprogne caspia,Caspian tern
birds,Larus crassirostris,black-tailed gull
birds,Larus dominicanus,kelp gull
birds,Larus pacificus,Pacific gull
birds,Larus schistisagus,slaty-backed gull
birds,Leucophaeus atricilla,laughing gull
birds,Leucophaeus pipixcan,Franklin's gull
birds,Onychoprion anaethetus,bridled tern
birds,Onychoprion fuscatus,sooty tern
birds,Procelsterna cerulea,grey ternlet
birds,Sterna dougallii,roseate tern
birds,Sterna hirundo,common tern
birds,Sterna paradisaea,Arctic tern
birds,Sterna striata,white-fronted tern
birds,Sterna sumatrana,black-naped tern
birds,Sternula albifrons,little tern
birds,Sternula nereis exsul,New Caledonian fairy tern
birds,Thalasseus bengalensis,lesser crested tern
birds,Thalasseus bergii,crested tern
birds,Cacatua galerita,sulphur-crested cockatoo
birds,Cacatua sanguinea,little corella
birds,Cacatua tenuirostris,long-billed corella
birds,Callocephalon fimbriatum,gang-gang cockatoo
birds,Calyptorhynchus banksii banksii,red-tailed black-cockatoo (Cape York & Eastern Aust)
birds,Calyptorhynchus banksii samueli,red-tailed black-cockatoo (SW Qld)
birds,Calyptorhynchus funereus,yellow-tailed black-cockatoo
birds,Calyptorhynchus lathami erebus,glossy black-cockatoo (northern)
birds,Calyptorhynchus lathami lathami,glossy black-cockatoo (eastern)
birds,Eolophus roseicapilla,galah
birds,Lophochroa leadbeateri,Major Mitchell's cockatoo
birds,Nymphicus hollandicus,cockatiel
birds,Probosciger aterrimus,palm cockatoo
birds,Alisterus scapularis,Australian king-parrot
birds,Aprosmictus erythropterus,red-winged parrot
birds,Barnardius zonarius barnardi,mallee ringneck
birds,Barnardius zonarius macgillivrayi,Cloncurry parrot
birds,Barnardius zonarius zonarius,Port Lincoln ringneck
birds,Cyclopsitta diophthalma coxeni,Coxen's fig-parrot
birds,Cyclopsitta diophthalma macleayana,Macleay's fig-parrot
birds,Cyclopsitta diophthalma marshalli,Marshall's fig-parrot
birds,Eclectus roratus macgillivrayi,eclectus parrot (Cape York Peninsula)
birds,Eclectus roratus polychloros,eclectus parrot (Torres Strait)
birds,Geoffroyus geoffroyi,red-cheeked parrot
birds,Glossopsitta concinna,musk lorikeet
birds,Lathamus discolor,swift parrot
birds,Melopsittacus undulatus,budgerigar
birds,Neophema chrysostoma,blue-winged parrot
birds,Neophema elegans,elegant parrot
birds,Neophema pulchella,turquoise parrot
birds,Neophema splendida,scarlet-chested parrot
birds,Neopsephotus bourkii,Bourke's parrot
birds,Northiella haematogaster haematorrhous,blue bonnet (red-vented)
birds,Northiella haematogaster pallescens,blue bonnet (pallid)
birds,Parvipsitta porphyrocephala,purple-crowned lorikeet
birds,Parvipsitta pusilla,little lorikeet
birds,Pezoporus occidentalis,night parrot
birds,Pezoporus wallicus wallicus,ground parrot
birds,Platycercus adscitus adscitus,pale-headed rosella (northern form)
birds,Platycercus adscitus palliceps,pale-headed rosella (southern form)
birds,Platycercus elegans elegans,crimson rosella (nom. subsp.)
birds,Platycercus eximius,eastern rosella
birds,Platycercus venustus,northern rosella
birds,Polytelis alexandrae,princess parrot
birds,Polytelis swainsonii,superb parrot
birds,Psephotus chrysopterygius,golden-shouldered parrot
birds,Psephotus haematonotus,red-rumped parrot
birds,Psephotus pulcherrimus,paradise parrot
birds,Psephotus varius,mulga parrot
birds,Psitteuteles versicolor,varied lorikeet
birds,Trichoglossus chlorolepidotus,scaly-breasted lorikeet
birds,Trichoglossus haematodus moluccanus,rainbow lorikeet
birds,Trichoglossus haematodus rubritorquis,red-collared lorikeet
birds,Cacomantis castaneiventris,chestnut-breasted cuckoo
birds,Cacomantis flabelliformis,fan-tailed cuckoo
birds,Cacomantis pallidus,pallid cuckoo
birds,Cacomantis variolosus,brush cuckoo
birds,Centropus phasianinus,pheasant coucal
birds,Chalcites basalis,Horsfield's bronze-cuckoo
birds,Chalcites lucidus,shining bronze-cuckoo
birds,Chalcites minutillus barnardi,little bronze-cuckoo
birds,Chalcites minutillus russatus,Gould's bronze-cuckoo
birds,Chalcites osculans,black-eared cuckoo
birds,Cuculus optatus,oriental cuckoo
birds,Eudynamys orientalis,eastern koel
birds,Scythrops novaehollandiae,channel-billed cuckoo
birds,Ninox boobook,southern boobook
birds,Ninox connivens,barking owl
birds,Ninox rufa meesi,rufous owl (Cape York subspecies)
birds,Ninox rufa queenslandica,rufous owl (southern subspecies)
birds,Ninox strenua,powerful owl
birds,Tyto delicatula,eastern barn owl
birds,Tyto longimembris,eastern grass owl
birds,Tyto novaehollandiae kimberli,masked owl (northern subspecies)
birds,Tyto novaehollandiae novaehollandiae,masked owl (southern subspecies)
birds,Tyto tenebricosa multipunctata,lesser sooty owl
birds,Tyto tenebricosa tenebricosa,sooty owl
birds,Ceyx azureus,azure kingfisher
birds,Ceyx pusillus,little kingfisher
birds,Dacelo leachii,blue-winged kookaburra
birds,Dacelo novaeguineae,laughing kookaburra
birds,Syma torotoro,yellow-billed kingfisher
birds,Tanysiptera hydrocharis,little paradise kingfisher
birds,Tanysiptera sylvia,buff-breasted paradise-kingfisher
birds,Todiramphus macleayii,forest kingfisher
